index,mpg-city,mpg-highway,horsepower,torque
294,26,34,132,128
295,26,34,132,128
296,26,34,132,128
297,22,30,158,162
298,22,30,158,162
299,17,22,260,271
300,15,20,260,271
301,17,21,260,271
302,19,28,310,325
303,18,26,300,310
304,23,30,170,177
305,23,30,170,177
306,23,30,170,177
307,22,30,170,177
308,22,30,170,177
309,23,30,170,177
310,23,30,170,177
311,22,30,170,177
312,23,30,170,177
313,22,30,170,177
314,22,30,170,177
315,21,31,200,207
316,21,31,200,207
317,30,41,140,236
318,23,30,170,177
319,23,30,170,177
320,30,41,140,236
321,17,22,260,271
322,15,19,260,271
323,17,21,260,271
324,20,25,187,186
325,20,25,270,248
326,17,22,270,248
327,20,25,187,186
328,18,24,270,248
329,17,22,270,248
330,18,24,270,248
331,17,22,270,248
332,20,27,187,186
333,18,24,270,248
334,17,23,270,248
335,18,24,270,248
336,17,23,270,248
337,18,24,270,248
338,17,23,270,248
339,18,24,270,248
340,17,23,270,248
341,18,27,271,254
342,18,27,271,254
343,18,26,271,254
344,13,18,381,401
345,13,18,381,401
346,26,32,132,128
347,25,32,132,128
348,21,28,158,162
349,21,29,158,162
350,20,26,158,162
351,10,16,631,738
352,10,16,543,664
353,10,16,604,738
354,10,16,631,738
355,10,16,620,738
356,10,16,543,664
357,10,16,604,738
358,10,16,631,738
359,10,16,620,738
360,10,16,543,664
361,10,16,604,738
362,10,16,604,738
363,10,16,620,738
364,26,32,132,128
365,25,31,132,128
366,21,28,158,162
367,21,29,158,162
368,20,26,158,162
369,21,28,158,162
370,21,29,158,162
371,25,31,132,128
372,12,18,317,385
373,12,18,317,385
374,12,18,317,385
375,13,19,317,385
376,12,18,317,385
377,12,18,317,385
378,23,33,170,177
379,24,31,170,177
380,23,33,170,177
381,24,31,170,177
382,24,31,170,177
383,24,31,170,177
384,30,42,140,236
385,27,35,108,105
386,27,35,108,105
387,25,34,108,105
388,27,35,108,105
389,25,34,108,105
390,21,31,200,207
391,21,31,200,207
392,18,27,280,265
393,17,25,280,265
394,16,24,350,325
395,18,26,300,310
396,27,35,108,105
397,27,35,108,105
398,25,34,108,105
399,27,35,108,105
400,25,34,108,105
401,16,23,350,325
402,18,26,300,310
403,18,26,300,310
404,18,28,310,325
405,17,27,372,328
406,17,27,372,328
407,12,18,317,385
408,12,18,317,385
409,12,18,317,385
410,12,18,317,385
411,12,18,317,385
412,12,18,317,385
413,16,23,350,325
414,16,23,350,325
415,25,30,122,127
416,25,30,122,127
417,25,30,122,127
418,25,30,122,127
419,20,27,211,258
420,18,23,270,243
421,20,27,211,258
422,18,23,270,243
423,18,27,271,254
424,18,27,271,254
425,17,25,271,254
426,18,23,270,243
427,18,23,270,243
428,26,34,140,128
429,25,36,140,128
430,26,34,140,128
431,25,36,140,128
432,26,34,140,128
433,25,36,140,128
434,25,36,140,128
435,21,29,197,139
436,16,22,333,325
437,16,22,280,295
438,17,25,225,406
